# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# pFa = 5.306637447810645
# pFb = 5.306637447810595
# pF1 = 5.306637447810595
# pF2 = 106.13151878684535
# mu_a = 106.13274895621288
# mu_b = 106.13274895621288
# mu_1 = 106.13274895621288
# mu_2 = 106.13274895621288
# T = 43.08665
# n = 10
# m3 = 0
# neval = 1000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
5.000000000000000278e-02,2.683797531870400861e+32,3.748477130888847433e+31
7.307692307692308098e-02,1.950818985245321982e+32,3.513597134104124174e+31
9.615384615384614531e-02,2.177161992998215591e+32,2.095085544652441894e+31
1.192307692307692235e-01,3.776085104210466905e+32,8.313835503538149790e+31
1.423076923076923017e-01,2.997066061603641314e+32,5.623470277571611392e+31
1.653846153846153799e-01,2.493289920878803806e+32,5.206306354326674936e+31
1.884615384615384581e-01,1.674215842728896078e+32,2.464229758025725874e+31
2.115384615384615086e-01,2.062396364884421117e+32,4.281282101363893614e+31
2.346153846153846145e-01,6.182968228423155610e+32,1.441499130921624618e+32
2.576923076923076650e-01,3.260239104117643484e+32,4.680219487828313293e+31
2.807692307692307709e-01,1.342211428663940721e+33,3.482025413027686804e+32
3.038461538461538214e-01,7.852301802267552119e+32,1.435416660399224333e+32
3.269230769230768718e-01,3.272362186981491906e+32,5.103944967836003392e+31
3.499999999999999778e-01,2.749898704549119168e+32,4.826096731309760753e+31
3.730769230769230282e-01,1.978003547779976274e+32,2.674702069939546676e+31
3.961538461538461342e-01,4.484798251181877706e+32,7.113214735200306281e+31
4.192307692307691847e-01,4.227075077949398722e+32,7.015996937884126988e+31
4.423076923076922351e-01,4.695178285044128743e+32,7.325933035156045411e+31
4.653846153846153411e-01,3.214672681498664675e+32,5.559086290609079322e+31
4.884615384615383915e-01,3.688786628043146503e+32,7.201284034980426767e+31
5.115384615384614975e-01,3.312323983809356666e+32,5.231675658250706342e+31
5.346153846153846034e-01,2.443853439451802828e+32,3.652649652689782157e+31
5.576923076923077094e-01,6.179212144593325163e+32,1.018880234577628033e+32
5.807692307692308153e-01,7.015047519203450749e+32,1.301395701076257599e+32
6.038461538461538103e-01,4.342881089772479698e+32,8.136894325900068249e+31
6.269230769230769162e-01,3.987954366074407988e+32,7.693977112767845000e+31
6.500000000000000222e-01,2.253380808366180532e+32,3.381883413652783303e+31
6.730769230769230171e-01,6.370752085149284624e+32,9.508404000031383830e+31
6.961538461538461231e-01,4.013461717518322839e+32,6.043080870665255155e+31
7.192307692307692291e-01,4.034871603371283018e+32,5.461882384118627776e+31
7.423076923076923350e-01,6.508829877907945126e+32,8.612493370786125437e+31
7.653846153846153300e-01,1.257589506830484120e+33,2.175569251812998478e+32
7.884615384615384359e-01,1.683275902788491207e+33,2.542743337353807727e+32
8.115384615384615419e-01,1.371552401160200408e+33,1.862597563946179296e+32
8.346153846153845368e-01,3.313701990260159123e+33,6.022155543781817728e+32
8.576923076923076428e-01,6.712826971714195250e+32,1.227553844318110706e+32
8.807692307692307487e-01,2.464701193816201679e+33,4.004709111172352256e+32
9.038461538461538547e-01,2.118196445754579521e+33,3.392498728225850621e+32
9.269230769230768496e-01,3.312745714527442758e+33,6.181510552643375416e+32
9.499999999999999556e-01,4.975201823508494092e+33,1.041982868765425274e+33
