# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# pFa = 1.0600530039753313
# pFb = 1.060053003974062
# pF1 = 1.060053003974062
# pF2 = 106.0040687491345
# mu_a = 106.00530039753312
# mu_b = 106.00530039753312
# mu_1 = 106.00530039753312
# mu_2 = 106.00530039753312
# T = 0.0861733
# n = 10
# m3 = 0
# neval = 5000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,3.504495724396622274e+06,2.560876377870763463e+04
2.000000000000000042e-02,3.663027773344354704e+06,2.781512597432366965e+04
2.999999999999999889e-02,4.006120101934822742e+06,2.912362000389765308e+04
4.000000000000000083e-02,4.423776663895059377e+06,3.293986654963779438e+04
5.000000000000000278e-02,4.983750009135621600e+06,3.695074385500649805e+04
1.000000000000000056e-01,8.379958311812055297e+06,6.709809299366494815e+04
1.499999999999999944e-01,1.230907763697153144e+07,9.907177020366064971e+04
2.000000000000000111e-01,1.685616395205421001e+07,1.374621694936680724e+05
2.500000000000000000e-01,2.190234700149710849e+07,1.817361415445111343e+05
2.999999999999999889e-01,2.739929985786422342e+07,2.315134884824839537e+05
3.300000000000000155e-01,3.256437534012939036e+07,2.864098525718567544e+05
3.400000000000000244e-01,3.288011551179552451e+07,2.793443780580431921e+05
3.499999999999999778e-01,3.471785289893062413e+07,3.026906362734729191e+05
3.599999999999999867e-01,3.691799924558050931e+07,3.407643247164908098e+05
3.699999999999999956e-01,3.802548579536905885e+07,3.292081613569211913e+05
4.000000000000000222e-01,4.383345652718205005e+07,3.988652978694808553e+05
4.500000000000000111e-01,5.409788604074419290e+07,4.872729440342340386e+05
4.799999999999999822e-01,6.208988973963232338e+07,6.025967131400414510e+05
5.100000000000000089e-01,6.971457313205949962e+07,6.308941525392056210e+05
5.400000000000000355e-01,8.123806177524904907e+07,8.570547360345198540e+05
5.699999999999999512e-01,9.274607734845642745e+07,9.263247011986110592e+05
5.999999999999999778e-01,1.089387199486494809e+08,1.175270424359816359e+06
6.199999999999999956e-01,1.189906507779778689e+08,1.395887533092583064e+06
6.400000000000000133e-01,1.303825604871720970e+08,1.435001050937868422e+06
6.600000000000000311e-01,1.427647074886201620e+08,1.757637943069347413e+06
6.800000000000000488e-01,1.590912334871968329e+08,1.916804333369358908e+06
6.999999999999999556e-01,1.779568132963506281e+08,2.297028263336267788e+06
7.199999999999999734e-01,1.930043804072578251e+08,2.527201787090299651e+06
7.399999999999999911e-01,2.205151257431673706e+08,3.140612258553015534e+06
7.600000000000000089e-01,2.463680018535195291e+08,3.496219798258325085e+06
7.800000000000000266e-01,2.680498185144475996e+08,3.794413671373889316e+06
8.000000000000000444e-01,3.053603035944085121e+08,4.940399110693534836e+06
8.199999999999999512e-01,3.331239240115674138e+08,5.205893398384934291e+06
8.399999999999999689e-01,3.841549593378404379e+08,6.250353192008947022e+06
8.599999999999999867e-01,4.252323224817705750e+08,7.123841634938854724e+06
8.800000000000000044e-01,4.986731636235057712e+08,8.546121342963585630e+06
9.000000000000000222e-01,5.538945981495536566e+08,1.114806282984151505e+07
