# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# pFa = 5.306637447810645
# pFb = 5.306637447810595
# pF1 = 5.306637447810595
# pF2 = 106.13151878684535
# mu_a = 106.13274895621288
# mu_b = 106.13274895621288
# mu_1 = 106.13274895621288
# mu_2 = 106.13274895621288
# T = 0.0008617329999999999
# n = 10
# m3 = 0
# neval = 10000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
5.000000000000000278e-02,3.733171446325797712e-10,2.452354164009545291e-11
1.499999999999999944e-01,1.231317674720642627e-09,8.227038401301009636e-11
2.500000000000000000e-01,2.191716091723657982e-09,1.479711484875914842e-10
3.499999999999999778e-01,3.926363228614394916e-09,2.771955422609913112e-10
4.499999999999999556e-01,3.579687249541696884e-09,3.001312320215827081e-10
5.499999999999999334e-01,1.326118983310163205e-08,1.110205452682911960e-09
6.500000000000000222e-01,2.119234180820935585e-08,1.999651814010674757e-09
7.500000000000000000e-01,3.787865285856421506e-08,4.105449863002485630e-09
8.499999999999999778e-01,9.196502846922552032e-08,1.635039642399870470e-08
9.499999999999999556e-01,1.479267292443315982e-07,3.663075098215265411e-08
