# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# T = 0.0861733
# beta_F_mu = 0.836788
# n = 10
# neval = 50000000
# Columns:m3,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,1.506490486463750124e+09,1.837707238065798581e+07
5.000000000000000000e-01,7.260920920053447485e+08,9.670187784358656034e+06
1.000000000000000000e+00,5.838993507867273688e+07,7.235627183396236505e+05
1.500000000000000000e+00,1.407832842505656881e+06,1.833582618223047029e+04
2.000000000000000000e+00,1.539607753934256652e+04,1.789502381764181962e+02
2.500000000000000000e+00,1.137889083883350310e+02,1.505545157864017103e+00
3.000000000000000000e+00,6.923310478267427071e-01,8.735702573247712890e-03
3.500000000000000000e+00,3.611080011058336991e-03,4.212495941331076529e-05
4.000000000000000000e+00,1.476100067287050984e-05,1.842574373507804347e-07
4.500000000000000000e+00,3.514255224225712903e-08,4.959310074750601461e-10
5.000000000000000000e+00,3.564227715940166077e-11,5.944210382227594593e-13
5.500000000000000000e+00,3.940575149089972341e-15,1.030304651313930273e-16
6.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
