# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# T = 3.999810270355639
# beta_F_mu = 0.836788
# m3 = 0
# neval = 500000
# Columns:n,emissivity (ergs/cm^3/s),error
1.000000000000000000e+00,1.472046994508985303e+20,5.340792159651872640e+17
1.000000000000000000e+00,1.466048219725505659e+20,5.162179829845162880e+17
1.000000000000000000e+00,1.466679953528767283e+20,5.089809351514983680e+17
1.000000000000000000e+00,1.464524160668182118e+20,4.871474851132722560e+17
1.000000000000000000e+00,1.467534443169177436e+20,4.746744955653564800e+17
1.000000000000000000e+00,1.466379592687923036e+20,4.942274543326158720e+17
1.000000000000000000e+00,1.469613652007600783e+20,4.920894563351215360e+17
1.000000000000000000e+00,1.470113963791939830e+20,5.065290047623378560e+17
1.000000000000000000e+00,1.473495461437581230e+20,4.756975242504293760e+17
1.000000000000000000e+00,1.472743357821822730e+20,5.015020019606876160e+17
1.000000000000000000e+00,1.469635323297279672e+20,5.242216571797962240e+17
1.000000000000000000e+00,1.485279355385923502e+20,5.251499591083330560e+17
1.000000000000000000e+00,1.473006454483643597e+20,4.847259948637774080e+17
1.000000000000000000e+00,1.467835857749144207e+20,4.892563784404484480e+17
1.000000000000000000e+00,1.464278788483920691e+20,4.889209522320460160e+17
1.000000000000000000e+00,1.468803927806328340e+20,5.386080134205715200e+17
5.000000000000000000e+00,7.035298418514886394e+21,2.502864919006114202e+19
5.000000000000000000e+00,7.020214464982297870e+21,2.446482302632953856e+19
5.000000000000000000e+00,7.033317528238424064e+21,2.489259185780899840e+19
5.000000000000000000e+00,6.996726717742637384e+21,2.363870557892334797e+19
5.000000000000000000e+00,7.026717976011829412e+21,2.365571985918539366e+19
5.000000000000000000e+00,7.036873115858637947e+21,2.533616656541301965e+19
5.000000000000000000e+00,6.978510783117661307e+21,2.279491843720193638e+19
5.000000000000000000e+00,7.009836051628634931e+21,2.345296140816124723e+19
5.000000000000000000e+00,7.020968312994241970e+21,2.443911659484135014e+19
5.000000000000000000e+00,7.028036416538533691e+21,2.492892157699490202e+19
5.000000000000000000e+00,7.028351559922985468e+21,2.590025206361909658e+19
5.000000000000000000e+00,6.988480162209454883e+21,2.527836336372593050e+19
5.000000000000000000e+00,6.981428997620819296e+21,2.327945331269541888e+19
5.000000000000000000e+00,7.036057878819663512e+21,2.545979953464600166e+19
5.000000000000000000e+00,7.009814576031811502e+21,2.378896375441050829e+19
5.000000000000000000e+00,7.054347617006175388e+21,2.641083690659114189e+19
1.000000000000000000e+01,1.086199032299740620e+22,4.788599559482974208e+19
1.000000000000000000e+01,1.075416848950663263e+22,4.304043461923075686e+19
1.000000000000000000e+01,1.071068906417568088e+22,4.412682923499685478e+19
1.000000000000000000e+01,1.070985957431434438e+22,3.876179774601933619e+19
1.000000000000000000e+01,1.069718821706257138e+22,3.956488927815564493e+19
1.000000000000000000e+01,1.080807669040823665e+22,4.268326923649244365e+19
1.000000000000000000e+01,1.074406918151370860e+22,4.360693825958509773e+19
1.000000000000000000e+01,1.074144044310339571e+22,3.921006802175267635e+19
1.000000000000000000e+01,1.073273446639064213e+22,4.164277986358290022e+19
1.000000000000000000e+01,1.075792379371100674e+22,3.918786561675173069e+19
1.000000000000000000e+01,1.074256496695171246e+22,3.979993815253623603e+19
1.000000000000000000e+01,1.073808385265607115e+22,4.016334057237638349e+19
1.000000000000000000e+01,1.075983098297437494e+22,3.918588104239859302e+19
1.000000000000000000e+01,1.074550276836943305e+22,3.928720040306039194e+19
1.000000000000000000e+01,1.081762208051197116e+22,4.166047700095081677e+19
1.000000000000000000e+01,1.068387281134808151e+22,3.887561805412022682e+19
1.500000000000000000e+01,1.096828412863774615e+22,4.187683118603928371e+19
1.500000000000000000e+01,1.094979972182568862e+22,4.132587621060608819e+19
1.500000000000000000e+01,1.109955037303761430e+22,4.284131695869974118e+19
