# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# T = 3.999810270355639
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# Columns:neval,emissivity (ergs/cm^3/s),error
1.000000000000000000e+06,8.318634142814961775e+25,2.662550659409700588e+25
2.000000000000000000e+06,3.301402759822660038e+25,5.347463719770128720e+24
5.000000000000000000e+06,8.845508913820518930e+26,2.403875250523911588e+26
1.000000000000000000e+07,3.206556766245894520e+26,8.070013846896428666e+25
2.000000000000000000e+07,1.973258971657120925e+27,5.260690781009071178e+26
5.000000000000000000e+07,1.831908128105798583e+27,3.912182950678199114e+26
1.000000000000000000e+08,2.864210508533024228e+27,3.740230938724968191e+26
2.000000000000000000e+08,4.708428778721387450e+27,9.754113271478589590e+26
5.000000000000000000e+08,1.108101953305509264e+28,2.187544841068085641e+27
1.000000000000000000e+09,1.868761120935629024e+28,3.266494537697382508e+27
2.000000000000000000e+09,4.193314764478597010e+28,6.198574570649252941e+27
