# beta_F_mu = 0.836788
# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# m3 = 0
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# neval = 1000000
# n = 1
# Columns:n,emissivity (ergs/cm^3/s),error
1.000000000000000000e+00,2.614122022191673644e+31,4.742829071113665727e+30
3.000000000000000000e+00,3.543668295509770466e+32,7.254491918616534591e+31
5.000000000000000000e+00,2.318178143023436138e+33,4.718191317922427664e+32
7.000000000000000000e+00,2.470958694826705459e+33,5.638284558539719071e+32
9.000000000000000000e+00,2.169849726100894780e+33,4.390711468010409779e+32
1.100000000000000000e+01,1.603462015786821255e+33,2.719611710098676311e+32
1.300000000000000000e+01,1.841329576001542671e+33,3.416797602815942530e+32
1.500000000000000000e+01,1.010474541594577948e+33,2.684735063385731690e+32
1.700000000000000000e+01,8.132319467254010124e+32,1.338514437119163496e+32
1.900000000000000000e+01,1.406910641422457377e+33,2.906490459738173183e+32
2.100000000000000000e+01,1.012532804265493538e+33,1.853300237020669133e+32
2.300000000000000000e+01,1.308055628591441055e+33,2.036953024960418668e+32
2.500000000000000000e+01,1.184721988365115603e+33,1.889988173336979483e+32
2.700000000000000000e+01,7.138928915403052114e+32,1.446203382996233103e+32
2.900000000000000000e+01,4.252506177751650329e+32,8.934335218824535838e+31
