# beta_F_mu = 0.836788
# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# m3 = 0
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# neval = 1000000
# n = 1
# Columns:n,emissivity (ergs/cm^3/s),error
1.000000000000000000e+00,1.891805098436209559e+07,7.339450074415050913e+05
3.000000000000000000e+00,3.797240990880055428e+08,1.861302425000631064e+07
5.000000000000000000e+00,9.679994610236821175e+08,5.325246987479160726e+07
7.000000000000000000e+00,1.058901947125263929e+09,4.674775192510272563e+07
9.000000000000000000e+00,1.070207160936590791e+09,5.748200347870525718e+07
1.100000000000000000e+01,1.307479788975044250e+09,7.709697581893196702e+07
1.300000000000000000e+01,1.289285922705988884e+09,9.095041105555272102e+07
1.500000000000000000e+01,1.225728763921820164e+09,7.665299118683847785e+07
1.700000000000000000e+01,1.270615502687104464e+09,1.041101814088682830e+08
1.900000000000000000e+01,1.276950230144928217e+09,9.989969618646000326e+07
2.100000000000000000e+01,1.066709251612782836e+09,8.147315414633299410e+07
2.300000000000000000e+01,8.717076366779699326e+08,6.493535330381038040e+07
2.500000000000000000e+01,1.141046906206102133e+09,9.814341881955136359e+07
2.700000000000000000e+01,1.244994796502624035e+09,1.093137448204960674e+08
2.900000000000000000e+01,8.997355170009812117e+08,7.875388285601983964e+07
