# beta_F_mu = 0.836788
# ma = 106.0
# mb = 750.617670528
# m1 = 0.511
# m2 = 750.617670528
# m3 = 0
# pFa = 162.00027388109442
# pFb = 225.7671563397886
# pF1 = 193.5970754338753
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# neval = 1000000
# n = 10
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,1.362254179546177463e-07,2.767333082841743453e-08
2.154434690031883232e-02,1.547870047318150989e-04,3.586036842783346060e-05
4.641588833612777382e-02,1.605099089544906599e-01,2.195929649206579057e-02
1.000000000000000056e-01,1.532349045693811149e+02,2.100602240958549416e+01
2.154434690031883370e-01,6.310601899231414427e+04,5.801023289527656743e+03
4.641588833612777520e-01,4.321054650095141679e+07,2.699882683349435683e+06
1.000000000000000000e+00,1.755914330364038849e+10,6.918323869958176613e+08
2.154434690031882038e+00,9.334263648807183594e+12,2.004439654960282288e+11
4.641588833612777520e+00,4.946028778702765000e+15,5.010397289056900781e+13
1.000000000000000000e+01,3.329524635384381440e+18,2.063155586968504800e+16
2.154434690031882127e+01,1.153250307002527960e+22,7.584369633483347722e+20
4.641588833612777165e+01,7.667864088186289784e+24,9.490862511677270403e+23
1.000000000000000000e+02,7.586721281815501626e+26,9.286856984162139990e+25
1.000000000000000021e-02,1.735698923592443717e-07,4.285253474943700738e-08
2.154434690031883232e-02,1.811313739924182359e-04,3.111948690436947565e-05
4.641588833612777382e-02,1.210170112796109948e-01,1.775643351035217574e-02
1.000000000000000056e-01,1.712134326646401803e+02,2.070093928668608285e+01
2.154434690031883370e-01,7.367117750949987385e+04,5.817614025712259718e+03
4.641588833612777520e-01,3.213570049500969052e+07,2.071860462149566971e+06
1.000000000000000000e+00,2.054472393940689850e+10,7.885553856454187632e+08
2.154434690031882038e+00,9.547370259389210938e+12,2.060149902566264038e+11
4.641588833612777520e+00,4.850250544361746000e+15,4.659889586196681250e+13
1.000000000000000000e+01,3.333716054137571328e+18,2.197645116719371600e+16
2.154434690031882127e+01,1.373313857855821342e+22,1.411444582518166651e+21
4.641588833612777165e+01,1.311508972837344974e+25,2.419799815756752720e+24
1.000000000000000000e+02,4.669783665699066112e+26,4.042844752746240544e+25
