# beta_F_mu = 0.05
# ma = 106.0
# mb = 750.617670528
# m1 = 0.511
# m2 = 750.617670528
# m3 = 0
# pFa = 5.306637447810645
# pFb = 106.13594090297826
# pF1 = 106.13151878684535
# pF2 = 106.1359409029783
# mu_a = 106.13274895621288
# mu_b = 758.08424680918
# mu_1 = 106.13274895621288
# mu_2 = 758.08424680918
# neval = 1000000
# n = 10
# Columns:n,emissivity (ergs/cm^3/s),error
5.000000000000000278e-02,5.625355682168648309e+30,4.799546295784195821e+29
7.307692307692308098e-02,4.541473746557529944e+30,3.353201243266964951e+29
9.615384615384614531e-02,8.287862709442991088e+30,9.172345696058428254e+29
1.192307692307692235e-01,9.162898610238432827e+30,1.254147125078225783e+30
1.423076923076923017e-01,8.055152797617679197e+30,8.859973401729354914e+29
1.653846153846153799e-01,6.843280118699978137e+30,9.883104471453486122e+29
1.884615384615384581e-01,7.682527459599526340e+30,9.957529348311217469e+29
2.115384615384615086e-01,8.082442167164018089e+30,8.998013115085737326e+29
2.346153846153846145e-01,9.120677148901024797e+30,7.572856193950315458e+29
2.576923076923076650e-01,4.514848433618464435e+30,4.236591913025099327e+29
2.807692307692307709e-01,8.071962650088321133e+30,9.009067857989528028e+29
3.038461538461538214e-01,7.880517689700640792e+30,7.301452390645419351e+29
3.269230769230768718e-01,5.892623529597992385e+30,5.363705836273694638e+29
3.499999999999999778e-01,9.097032370290791875e+30,8.157018229918179274e+29
3.730769230769230282e-01,7.402459818304645274e+30,7.193699106906364994e+29
3.961538461538461342e-01,9.024369271364568437e+30,7.943472825972530461e+29
4.192307692307691847e-01,9.347359771282890818e+30,1.427749835211856589e+30
4.423076923076922351e-01,7.948433585368304349e+30,7.041634591291600833e+29
4.653846153846153411e-01,1.039703548203422078e+31,1.062552707864970274e+30
4.884615384615383915e-01,7.303319763887274268e+30,5.630075704029129101e+29
5.115384615384614975e-01,7.391957106124224927e+30,6.644311346954667984e+29
5.346153846153846034e-01,7.934347745310843835e+30,6.956388460208340373e+29
5.576923076923077094e-01,9.692926100794407910e+30,8.746729612873155610e+29
5.807692307692308153e-01,9.634324290457767211e+30,7.957920947028529972e+29
6.038461538461538103e-01,1.053726089295521125e+31,1.349540554750937498e+30
6.269230769230769162e-01,1.478745377492599996e+31,2.124241609652196018e+30
6.500000000000000222e-01,1.171361725788006002e+31,1.154556570653087370e+30
6.730769230769230171e-01,1.022238517575251533e+31,1.141512230959691877e+30
6.961538461538461231e-01,1.494163465897139138e+31,2.168299478785557020e+30
7.192307692307692291e-01,9.908524465440073935e+30,1.277860231322595115e+30
7.423076923076923350e-01,1.314491523688892644e+31,1.432690574147509127e+30
7.653846153846153300e-01,1.050396735808000691e+31,8.710741436951543547e+29
7.884615384615384359e-01,1.314488087351510983e+31,1.172747863734593572e+30
8.115384615384615419e-01,9.732126713548262338e+30,9.040391760213086329e+29
8.346153846153845368e-01,1.573248650193634938e+31,1.417503378461068381e+30
8.576923076923076428e-01,1.690135653695516309e+31,1.519589920051275479e+30
8.807692307692307487e-01,1.604000546675890066e+31,1.706205583230986408e+30
9.038461538461538547e-01,2.691387090872121255e+31,3.313850461433373530e+30
9.269230769230768496e-01,1.623747289610770819e+31,1.455512713112339283e+30
9.499999999999999556e-01,2.218123162277173507e+31,1.953420537867443661e+30
