# T = 0.0861733
# ma = 106.0
# mb = 750.617670528
# m1 = 0.511
# m2 = 750.617670528
# m3 = 0
# pFa = 0.0
# pFb = 105.99876829001362
# pF1 = 105.99876829001364
# pF2 = 105.99876829001342
# mu_a = 106.0
# mu_b = 758.0650540605873
# mu_1 = 106.0
# mu_2 = 758.0650540605873
# neval = 5000000
# n = 10
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,2.143074333626140058e+08,2.672126603385108756e+05
2.435897435897435917e-02,2.376714091634885371e+08,2.969809569316856796e+05
4.871794871794871834e-02,3.036552570521861911e+08,3.825413948575538234e+05
7.307692307692308098e-02,4.012936092274401188e+08,5.110606640166122233e+05
9.743589743589743668e-02,5.117170461549661160e+08,6.580997340502400184e+05
1.217948717948717924e-01,6.226011949558382034e+08,8.104096544362176210e+05
1.461538461538461620e-01,7.363236011840978861e+08,9.671889277050002711e+05
1.705128205128205177e-01,8.547762093886801004e+08,1.136193251198026584e+06
1.948717948717948734e-01,9.792009864791040421e+08,1.321178388053027680e+06
2.192307692307692291e-01,1.110538581411793709e+09,1.519509691246658098e+06
2.435897435897435848e-01,1.242524233376902580e+09,1.733266282254384365e+06
2.679487179487179405e-01,1.390421076118590117e+09,1.982316046273003798e+06
2.923076923076923239e-01,1.535099036752916813e+09,2.241975815260465723e+06
3.166666666666666519e-01,1.692488075168086052e+09,2.534831985199963208e+06
3.410256410256410353e-01,1.864958464941549540e+09,2.881170120591619518e+06
3.653846153846153633e-01,2.040444527927281618e+09,3.243723743301478215e+06
3.897435897435897467e-01,2.239142575274878502e+09,3.692033627819816116e+06
4.141025641025641302e-01,2.441975712179699898e+09,4.177102348694305401e+06
4.384615384615384581e-01,2.664969864601251125e+09,4.731876456135234796e+06
4.628205128205128416e-01,2.893537398634360790e+09,5.343524953634884208e+06
4.871794871794871695e-01,3.189975589453560829e+09,6.200613055028506555e+06
5.115384615384614975e-01,3.484626335052119255e+09,7.128348095007049851e+06
5.358974358974358809e-01,3.839337260189825535e+09,8.287480875060478225e+06
5.602564102564102644e-01,4.215522367637834072e+09,9.671537463265506551e+06
5.846153846153846478e-01,4.638073618945010185e+09,1.138813201297201402e+07
6.089743589743590313e-01,5.109596877598537445e+09,1.346916506490833312e+07
6.333333333333333037e-01,5.683198865523434639e+09,1.628638283066153713e+07
6.576923076923076872e-01,6.332926922541705132e+09,1.947659318218375742e+07
6.820512820512820706e-01,7.120356163192629814e+09,2.400608110817044228e+07
7.064102564102564541e-01,8.022505665642811775e+09,2.970588821526017785e+07
7.307692307692307265e-01,9.220790738220705032e+09,3.870806284536220133e+07
7.551282051282051100e-01,1.067472297240960884e+10,5.035410010019144416e+07
7.794871794871794934e-01,1.261602719232929230e+10,6.959088942188549042e+07
8.038461538461538769e-01,1.506226649992882156e+10,9.715625992909283936e+07
8.282051282051282604e-01,1.866236680615866470e+10,1.461182962575271428e+08
8.525641025641025328e-01,2.311267575760574722e+10,2.193475882716595232e+08
8.769230769230769162e-01,3.107046237005509567e+10,3.753637217573306561e+08
9.012820512820512997e-01,4.469821861777745056e+10,7.144151015943064690e+08
9.256410256410256832e-01,7.089059860610084534e+10,1.691225466715409517e+09
9.499999999999999556e-01,1.298355491292855835e+11,4.313384680079701424e+09
