# T = 0.0861733
# ma = 106.0
# mb = 750.617670528
# m1 = 0.511
# m2 = 750.617670528
# m3 = 0
# pFa = 0.0
# pFb = 105.99876829001362
# pF1 = 105.99876829001364
# pF2 = 105.99876829001342
# mu_a = 106.0
# mu_b = 758.0650540605873
# mu_1 = 106.0
# mu_2 = 758.0650540605873
# neval = 10000000
# n = 10
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,2.140522368834112585e+08,1.723119733806345612e+05
2.435897435897435917e-02,2.372427672863018811e+08,1.914213710970816610e+05
2.500000000000000139e-02,2.379155775567347109e+08,1.919197463477699494e+05
4.871794871794871834e-02,3.037655482004330754e+08,2.470794675234600727e+05
5.000000000000000278e-02,3.084828748467217088e+08,2.510569094804700871e+05
7.307692307692308098e-02,4.013495198617249727e+08,3.299479068112327368e+05
7.500000000000001110e-02,4.103472201203261614e+08,3.376139581521918881e+05
9.743589743589743668e-02,5.104678684522573948e+08,4.244703963757288875e+05
1.000000000000000056e-01,5.216774069347880483e+08,4.345917816348230699e+05
1.217948717948717924e-01,6.215218962121562958e+08,5.220987994455332519e+05
2.500000000000000000e-01,1.279209566525604725e+09,1.163542854905318003e+06
1.461538461538461620e-01,7.369950289387463331e+08,6.274966982017025584e+05
4.000000000000000222e-01,2.313797983443464279e+09,2.500317989967432339e+06
1.705128205128205177e-01,8.552146314139323235e+08,7.368759750183656579e+05
5.499999999999999334e-01,4.026552240283243656e+09,5.948222013066755608e+06
1.948717948717948734e-01,9.786242808863716125e+08,8.562887410282233031e+05
6.999999999999999556e-01,7.790811755567630768e+09,1.964416400562820956e+07
2.192307692307692291e-01,1.108267584604533911e+09,9.849953978096261853e+05
8.499999999999999778e-01,2.297524289142397308e+10,1.531269690976472497e+08
2.435897435897435848e-01,1.243380203785162449e+09,1.125980705713434145e+06
8.699999999999999956e-01,2.859482471630743027e+10,2.262212482599175870e+08
2.679487179487179405e-01,1.385403159634008884e+09,1.277000146667651832e+06
8.900000000000000133e-01,3.779545400090163422e+10,3.999511145718036294e+08
2.923076923076923239e-01,1.533935627200661659e+09,1.450615049068298191e+06
9.099999999999999201e-01,5.152886377193602753e+10,6.693504108017141819e+08
3.166666666666666519e-01,1.693081628517281532e+09,1.641014126350101316e+06
9.299999999999999378e-01,7.782525135430592346e+10,1.391749689734796524e+09
3.410256410256410353e-01,1.859442190169712782e+09,1.855609486964958953e+06
9.499999999999999556e-01,1.355789397065420380e+11,3.263778384613444805e+09
3.653846153846153633e-01,2.038513587763099194e+09,2.089789547720337287e+06
3.897435897435897467e-01,2.230438648266471863e+09,2.372478491416480858e+06
4.141025641025641302e-01,2.441616076890430927e+09,2.700298443350779358e+06
4.384615384615384581e-01,2.662086834711634159e+09,3.069421086875467561e+06
4.628205128205128416e-01,2.899748191635974884e+09,3.484709034874439240e+06
4.871794871794871695e-01,3.178512479322381020e+09,4.022718474832749926e+06
5.115384615384614975e-01,3.487263756225678921e+09,4.666875669367093593e+06
5.358974358974358809e-01,3.817894226964846611e+09,5.438287048643966205e+06
5.602564102564102644e-01,4.191349555320478916e+09,6.358841314484319650e+06
5.846153846153846478e-01,4.612932978864910126e+09,7.525190314393947832e+06
6.089743589743590313e-01,5.102338604515492439e+09,9.068553527532601729e+06
6.333333333333333037e-01,5.655885052976047516e+09,1.085845642987629771e+07
6.576923076923076872e-01,6.330174693314571381e+09,1.334503132562209666e+07
6.820512820512820706e-01,7.102090352059391975e+09,1.656978338627744466e+07
7.064102564102564541e-01,8.075387669173989296e+09,2.129369838110907748e+07
7.551282051282051100e-01,1.067941520240306282e+10,3.592124592517899722e+07
7.794871794871794934e-01,1.262132306441720581e+10,4.951401827577348799e+07
8.038461538461538769e-01,1.523354922361515045e+10,7.128078691526773572e+07
8.282051282051282604e-01,1.855811789785641098e+10,1.054664289016075879e+08
8.525641025641025328e-01,2.371085276774950027e+10,1.610096648249565363e+08
8.769230769230769162e-01,3.092120461135744858e+10,2.690084892893348336e+08
9.012820512820512997e-01,4.447291928087184143e+10,5.136473051287981272e+08
9.256410256410256832e-01,6.943851755138789368e+10,1.117199141351028919e+09
9.499999999999999556e-01,1.277156266340947876e+11,3.163009655948225498e+09
