# beta_F_mu = 0.35
# ma = 106.0
# mb = 750.617670528
# m1 = 0.511
# m2 = 750.617670528
# m3 = 0
# pFa = 39.60503004112488
# pFb = 114.75073483484258
# pF1 = 113.15607488578952
# pF2 = 114.75073483484282
# mu_a = 113.15722868892824
# mu_b = 759.3382766949244
# mu_1 = 113.15722868892824
# mu_2 = 759.3382766949244
# neval = 1000000
# n = 10
# Columns:n,emissivity (ergs/cm^3/s),error
3.499999999999999778e-01,1.921020022175133705e+09,1.432567513239363022e+07
3.706896551724137567e-01,2.085471943358997822e+09,1.619110641783293523e+07
3.913793103448275357e-01,2.222468763795883179e+09,1.711326809552329779e+07
4.120689655172413701e-01,2.420354727093026638e+09,1.969786356339105964e+07
4.327586206896551491e-01,2.576721532253369808e+09,2.154136814310473949e+07
4.534482758620689280e-01,2.788586347973895073e+09,2.449102554783514887e+07
4.741379310344827624e-01,3.101053272268957615e+09,2.945094223008460924e+07
4.948275862068965414e-01,3.248791946256173611e+09,3.224382051864042878e+07
5.155172413793103203e-01,3.524921522713445663e+09,3.624176859085169435e+07
5.362068965517241548e-01,3.776555292115025043e+09,3.989940117169646174e+07
5.568965517241378782e-01,4.112154493147851467e+09,4.589742667610058188e+07
5.775862068965517127e-01,4.483653850955586433e+09,5.492155811019397527e+07
5.982758620689654361e-01,4.756843196258620262e+09,6.086063423729281127e+07
6.189655172413792705e-01,5.301152807388317108e+09,7.398847501915013790e+07
6.396551724137931050e-01,5.646792944069357872e+09,7.781331289160922170e+07
6.603448275862069394e-01,6.472010564768310547e+09,1.027145286790894121e+08
6.810344827586206629e-01,6.985790928440892220e+09,1.152464435136684030e+08
7.017241379310343863e-01,7.623656871410067558e+09,1.278426575646304339e+08
7.224137931034482207e-01,8.543070068108935356e+09,1.626675880180976391e+08
7.431034482758620552e-01,9.860192634024429321e+09,2.153592568030483425e+08
7.637931034482758896e-01,1.079095184538904190e+10,2.526040884405775666e+08
7.844827586206896131e-01,1.198245257300471306e+10,3.142085127083281875e+08
8.051724137931034475e-01,1.534735647825713730e+10,4.889707906799007058e+08
8.258620689655171709e-01,1.775422559124646759e+10,6.412093814380675554e+08
8.465517241379310054e-01,2.156441892189868164e+10,9.093144428378703594e+08
8.672413793103448398e-01,2.402763981843528748e+10,9.669753473598068953e+08
8.879310344827585633e-01,3.386800060902771378e+10,1.877652771731861830e+09
9.086206896551723977e-01,3.345780393841840363e+10,2.283869673533398628e+09
9.293103448275862322e-01,5.316652429295266724e+10,4.526552772631333351e+09
9.499999999999999556e-01,1.022361959278718109e+11,9.419524333230636597e+09
