# ma = 106.0
# mb = 750.617670528
# m1 = 0.511
# m2 = 750.617670528
# pFa = 162.00027388109442
# pFb = 225.7671563397886
# pF1 = 193.5970754338753
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 1000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,1.034501281259601431e-07,2.246650311055094087e-08
1.000000000000000021e-02,9.045517322246938258e-08,2.055482606171853148e-08
1.000000000000000021e-02,3.874459803443662550e-08,1.042890848411980734e-08
1.000000000000000056e-01,1.012860748805702258e+02,1.228794897862734459e+01
1.000000000000000056e-01,8.546222923044274467e+01,1.008793632771623194e+01
1.000000000000000056e-01,9.179020876057903422e+01,1.026960871368889450e+01
1.000000000000000000e+00,1.882531866673311996e+10,6.651466950628411770e+08
1.000000000000000000e+00,1.936502990405917358e+10,7.935556231985131502e+08
1.000000000000000000e+00,1.781072101645369720e+10,6.602685467411850691e+08
2.154434690031883814e+00,9.261891908409949219e+12,1.884471304268196716e+11
2.154434690031883814e+00,9.412362570174328125e+12,1.849829498441713257e+11
4.641588833612778409e+00,4.944692581059229000e+15,5.025240480895701562e+13
4.641588833612778409e+00,5.015212484977827000e+15,5.636902692810948438e+13
1.000000000000000000e+01,3.372287092944954880e+18,2.471099328497744000e+16
1.000000000000000000e+01,3.294815280450995200e+18,1.985659787451177200e+16
1.000000000000000000e+01,3.295555266333597184e+18,2.038315516677223200e+16
2.154434690031883193e+01,1.454717693394816283e+22,1.340665065628071625e+21
2.154434690031883193e+01,1.089792994366518093e+22,7.112936543389460726e+20
4.641588833612777165e+01,6.834273579104863877e+24,7.302398638188534369e+23
4.641588833612777165e+01,7.592809656810310262e+24,9.052889181129879071e+23
1.000000000000000000e+02,1.211157470547516626e+27,1.933449776841911620e+26
1.000000000000000000e+02,3.629972896277304227e+26,2.987846166969904969e+25
1.000000000000000000e+02,5.803396811442465159e+26,4.837780134102283517e+25
2.154434690031882269e+02,1.260038442693516767e+29,1.526102927498772479e+28
2.154434690031882269e+02,9.348301402023518848e+28,8.128597439083190991e+27
4.641588833612777307e+02,1.028284028369743586e+31,1.498729610217227462e+30
4.641588833612777307e+02,1.252618951598500014e+31,1.541294228952418984e+30
1.000000000000000000e+03,1.081425894617805304e+33,9.331545548281696659e+31
1.000000000000000000e+03,9.622722079076517833e+32,8.620279787025619918e+31
1.000000000000000000e+03,1.199020531770595160e+33,1.133390291063040543e+32
1.000000000000000000e+04,9.699338488597622726e+40,7.189404683339330062e+39
1.000000000000000000e+04,8.605136507810097180e+40,4.054094805712694673e+39
1.000000000000000000e+04,8.211277396102803669e+40,3.330071318414726579e+39
