# ma = 106.0
# mb = 750.617670528
# m1 = 0.511
# m2 = 750.617670528
# pFa = 162.00027388109442
# pFb = 225.7671563397886
# pF1 = 193.5970754338753
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 50000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,1.626974608028813787e-06,9.791824111670253630e-08
1.000000000000000056e-01,1.956549060481586935e+02,4.466917714992542088e+00
1.000000000000000000e+00,2.023118008770387650e+10,9.539528014034333825e+07
2.154434690031883814e+00,9.694694384761171875e+12,2.157596572216131210e+10
4.641588833612778409e+00,5.004312886280566000e+15,5.202322984848514648e+12
1.000000000000000000e+01,3.374582100483310592e+18,6.484755554639252000e+15
2.154434690031883193e+01,5.672925957124059772e+22,5.690857668184061772e+21
4.641588833612777165e+01,4.192070544706419028e+25,5.396394462879468598e+24
1.000000000000000000e+02,5.317395214111330031e+27,4.566013671784403116e+26
2.154434690031882269e+02,7.866366943619941486e+29,9.139066421575431581e+28
4.641588833612777307e+02,5.474060251602852213e+31,4.289800740415811950e+30
1.000000000000000000e+03,8.679423990373192517e+33,1.556266281993312251e+33
1.000000000000000000e+04,1.539316399635209911e+41,7.222994075015827838e+39
