# ma = 106.0
# mb = 750.617670528
# m1 = 0.511
# m2 = 750.617670528
# pFa = 162.00027388109442
# pFb = 225.7671563397886
# pF1 = 193.5970754338753
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 50000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,5.064886993628455384e-07,1.523544602361061691e-08
1.000000000000000021e-02,4.949829598651241312e-07,1.571092202295737797e-08
1.000000000000000021e-02,5.198351672523940794e-07,1.625595451847803086e-08
1.000000000000000056e-01,5.219534119225592406e+01,5.003967073971654633e-01
1.000000000000000056e-01,5.237415194420642450e+01,4.914318252650325403e-01
1.000000000000000000e+00,5.278489047702377319e+09,1.179552897170913778e+07
2.154434690031883814e+00,2.471755908870933105e+12,2.912536593548196793e+09
4.641588833612778409e+00,1.181185562737709250e+15,6.884541827939567871e+11
1.000000000000000000e+01,5.834927335323810560e+17,1.721037174966488750e+14
2.154434690031883193e+01,2.630467523640659476e+20,4.490866673883137600e+16
4.641588833612777165e+01,8.406072879049363948e+22,9.686739698220558336e+18
1.000000000000000000e+02,1.791052031761334236e+25,1.547134413899695653e+21
2.154434690031882269e+02,2.778618810065408022e+27,1.959029350100325536e+23
4.641588833612777307e+02,3.708537511248646358e+29,2.493249266865901870e+25
1.000000000000000000e+03,6.793796647814424709e+31,5.633809240951200166e+27
1.000000000000000000e+04,4.574473985318749333e+40,4.214363125575553826e+37
