# ma = 106.0
# mb = 750.617670528
# m1 = 0.511
# m2 = 750.617670528
# pFa = 5.306637447810645
# pFb = 106.13594090297826
# pF1 = 106.13151878684535
# pF2 = 106.1359409029783
# mu_a = 106.13274895621288
# mu_b = 758.08424680918
# mu_1 = 106.13274895621288
# mu_2 = 758.08424680918
# T = 43.08665
# n = 10
# m3 = 0
# neval = 1000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
5.000000000000000278e-02,3.644448904372789499e+30,3.933597699819365062e+29
7.307692307692308098e-02,7.604366387918264895e+30,7.882907852930424059e+29
9.615384615384614531e-02,1.038948540260088116e+31,1.304491573337009367e+30
1.192307692307692235e-01,7.035181882466070874e+30,5.917938948936086870e+29
1.423076923076923017e-01,5.868648196737177553e+30,6.633310810287188736e+29
1.653846153846153799e-01,5.865054513361226295e+30,5.296596865576933579e+29
1.884615384615384581e-01,6.003470713717714945e+30,6.092588215740905527e+29
2.115384615384615086e-01,8.712471704017676345e+30,1.057097097587004812e+30
2.346153846153846145e-01,4.605537251559502440e+30,3.509205464901636457e+29
2.576923076923076650e-01,7.811585196322895681e+30,8.493659744131728614e+29
2.807692307692307709e-01,5.764721870840796415e+30,6.363208208686965546e+29
3.038461538461538214e-01,1.233025668407457463e+31,1.476003632734192074e+30
3.269230769230768718e-01,7.680291807414076466e+30,7.372724572946934264e+29
3.499999999999999778e-01,8.946603168985484411e+30,1.122797234741877156e+30
3.730769230769230282e-01,8.943392175304068580e+30,1.228228298377494412e+30
3.961538461538461342e-01,5.673992187620623668e+30,6.555127858196450487e+29
4.192307692307691847e-01,4.956606305098852958e+30,3.782333881538616131e+29
4.423076923076922351e-01,6.143473614286523335e+30,5.515215825933032621e+29
4.653846153846153411e-01,5.266503756575937288e+30,5.980314835489325750e+29
4.884615384615383915e-01,1.115361331108619054e+31,1.252515048350600023e+30
5.115384615384614975e-01,7.276298493811400327e+30,4.685580918695517410e+29
5.346153846153846034e-01,9.594545258500199802e+30,1.312140921238076190e+30
5.576923076923077094e-01,8.628240459257555034e+30,9.368463270933949281e+29
5.807692307692308153e-01,6.360963025268328755e+30,5.199757983155106766e+29
6.038461538461538103e-01,1.078236039517206894e+31,1.109810036298302712e+30
6.269230769230769162e-01,1.261572960291467449e+31,1.202375831748121958e+30
6.500000000000000222e-01,1.287697366268391827e+31,1.719523388616042007e+30
6.730769230769230171e-01,9.836844741772144758e+30,1.019521075348978892e+30
6.961538461538461231e-01,9.089102267178836017e+30,7.539371777208337949e+29
7.192307692307692291e-01,1.074405900953958575e+31,1.149964079644090780e+30
7.423076923076923350e-01,9.206801624633901258e+30,9.089329068884945091e+29
7.653846153846153300e-01,1.110918119128135665e+31,8.753831611065019144e+29
7.884615384615384359e-01,1.195664562055084870e+31,9.820407594091117352e+29
8.115384615384615419e-01,1.085823634010441629e+31,1.003397214803036288e+30
8.346153846153845368e-01,1.126310358403681388e+31,9.433566517668497922e+29
8.576923076923076428e-01,1.385957950239626424e+31,1.021135885511783360e+30
8.807692307692307487e-01,2.058810957785487130e+31,2.014070923441082424e+30
9.038461538461538547e-01,2.307589010224114788e+31,2.427701055221868079e+30
9.269230769230768496e-01,2.459450022503288252e+31,2.370507125285381313e+30
9.499999999999999556e-01,2.834290710993112249e+31,2.119356108444369117e+30
