# ma = 106.0
# mb = 750.617670528
# m1 = 0.511
# m2 = 750.617670528
# pFa = 1.0600530039753313
# pFb = 106.00410408504395
# pF1 = 106.0040687491345
# pF2 = 106.00410408504436
# mu_a = 106.00530039753312
# mu_b = 758.0658001728834
# mu_1 = 106.00530039753312
# mu_2 = 758.0658001728834
# T = 0.0861733
# n = 10
# m3 = 0
# neval = 10000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,1.881999680987578630e+08,2.299637819360424182e+05
5.000000000000000278e-02,2.653191877231434584e+08,3.280503772019197349e+05
2.500000000000000000e-01,1.071544804878594398e+09,1.482125950613377616e+06
3.499999999999999778e-01,1.565135865048853397e+09,2.381774683686185628e+06
4.500000000000000111e-01,2.148280475015687466e+09,3.740298772837753873e+06
5.699999999999999512e-01,3.002703775711701393e+09,6.670001039064795710e+06
6.600000000000000311e-01,3.774930568503227234e+09,1.050152157701721229e+07
7.399999999999999911e-01,4.563409633105365753e+09,1.675993559149213694e+07
8.199999999999999512e-01,5.133244181722619057e+09,2.583091101667584851e+07
9.000000000000000222e-01,5.102171189688069344e+09,3.856238554554536939e+07
