# ma = 106.0
# mb = 750.617670528
# m1 = 0.511
# m2 = 750.617670528
# pFa = 1.0600530039753313
# pFb = 106.00410408504395
# pF1 = 106.0040687491345
# pF2 = 106.00410408504436
# mu_a = 106.00530039753312
# mu_b = 758.0658001728834
# mu_1 = 106.00530039753312
# mu_2 = 758.0658001728834
# T = 0.0861733
# n = 10
# m3 = 0
# neval = 10000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,2.178932159941041470e+08,3.286849235130802845e+05
2.000000000000000042e-02,2.297289738162946403e+08,3.466016258016491774e+05
2.999999999999999889e-02,2.487753917649424672e+08,3.772324669741817634e+05
4.000000000000000083e-02,2.754843617484864593e+08,4.186107719479487278e+05
5.000000000000000278e-02,3.085164828783312440e+08,4.715527473303219303e+05
1.000000000000000056e-01,5.231284420165594220e+08,8.315089341475045076e+05
1.499999999999999944e-01,7.557628325189708471e+08,1.263483959582769312e+06
2.000000000000000111e-01,1.006087066063256264e+09,1.724798850376183633e+06
2.500000000000000000e-01,1.281157792743266344e+09,2.273568060060473625e+06
2.999999999999999889e-01,1.580749107939771414e+09,2.931758369661694393e+06
3.300000000000000155e-01,1.782334675808684111e+09,3.418302472997542936e+06
3.400000000000000244e-01,1.855942096350408792e+09,3.618772973654520232e+06
3.499999999999999778e-01,1.924475705019818544e+09,3.762811619871924631e+06
3.599999999999999867e-01,2.001164837325741291e+09,4.001448510923743714e+06
3.699999999999999956e-01,2.075420888093712568e+09,4.192862457410722971e+06
4.000000000000000222e-01,2.321939629910350800e+09,4.908853637042493559e+06
4.500000000000000111e-01,2.768684182472820282e+09,6.347838875536034815e+06
4.799999999999999822e-01,3.100546274031002998e+09,7.458019195249979384e+06
5.100000000000000089e-01,3.462381948503155708e+09,9.134066019945625216e+06
5.400000000000000355e-01,3.881566684271488667e+09,1.107289854291866906e+07
5.699999999999999512e-01,4.338280921922235489e+09,1.340518380672857165e+07
5.999999999999999778e-01,4.911784444071337700e+09,1.661650830214141123e+07
6.199999999999999956e-01,5.358885590609285355e+09,1.988635097851975635e+07
6.400000000000000133e-01,5.835733839196031570e+09,2.295458605506215990e+07
6.600000000000000311e-01,6.425774821338799477e+09,2.732179748896604776e+07
6.800000000000000488e-01,7.027021797953324318e+09,3.242153305298372358e+07
6.999999999999999556e-01,7.737851296896517754e+09,3.780401754158656299e+07
7.199999999999999734e-01,8.709964257814882278e+09,4.988852634882190824e+07
7.399999999999999911e-01,9.616284211912393570e+09,5.883325336897568405e+07
7.600000000000000089e-01,1.087093065639416885e+10,7.358731424459768832e+07
7.800000000000000266e-01,1.257121452091184616e+10,9.972955912807862461e+07
8.000000000000000444e-01,1.466741160083111763e+10,1.332397130469242781e+08
8.199999999999999512e-01,1.732441663396661758e+10,1.843221285218385756e+08
8.399999999999999689e-01,2.054627019687322235e+10,2.554527149531028271e+08
8.599999999999999867e-01,2.523532885595123291e+10,3.696790115355107188e+08
8.800000000000000044e-01,3.261951456202588272e+10,5.899802156863495111e+08
9.000000000000000222e-01,4.465208132670309448e+10,1.023535033800482631e+09
