# ma = 106.0
# mb = 750.617670528
# m1 = 0.511
# m2 = 750.617670528
# pFa = 162.00027388109442
# pFb = 225.7671563397886
# pF1 = 193.5970754338753
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# T = 0.0861733
# beta_F_mu = 0.836788
# n = 10
# neval = 10000000
# Columns:m3,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,2.034636287176841354e+10,2.581629589108398557e+08
5.000000000000000000e-01,1.211429343555613899e+10,1.942708408698573709e+08
1.000000000000000000e+00,1.070100013095275760e+09,1.975446250931897759e+07
1.500000000000000000e+00,2.776117792381012812e+07,5.569256598624689505e+05
2.000000000000000000e+00,3.072568023625920760e+05,6.644229835654768976e+03
2.500000000000000000e+00,2.182438425793289753e+03,4.332500879532448579e+01
3.000000000000000000e+00,1.366471227666745314e+01,2.936356489344830734e-01
3.500000000000000000e+00,7.124239002482958549e-02,1.642590276608012732e-03
4.000000000000000000e+00,2.804001182515018916e-04,6.348748997978535293e-06
4.500000000000000000e+00,6.778384186168279397e-07,2.058998972350622252e-08
5.000000000000000000e+00,6.812873016492680665e-10,2.452379051156719063e-11
5.500000000000000000e+00,6.163263502453817842e-14,3.251932041122347906e-15
6.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
6.500000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
7.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
7.500000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
8.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
8.500000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
9.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
9.500000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
1.000000000000000000e+01,0.000000000000000000e+00,9.999999999999999259e-130
