# beta_F_mu = 0.836788
# ma = 106.0
# mb = 750.617670528
# m1 = 0.511
# m2 = 750.617670528
# m3 = 0
# pFa = 162.00027388109442
# pFb = 225.7671563397886
# pF1 = 193.5970754338753
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# neval = 1000000
# n = 1
# Columns:n,emissivity (ergs/cm^3/s),error
1.000000000000000000e+00,5.934346779562539310e+28,6.161105325442254245e+27
3.000000000000000000e+00,5.339822068739833717e+30,5.423123268594340065e+29
5.000000000000000000e+00,1.441486473447797821e+31,1.367568905837444697e+30
7.000000000000000000e+00,2.051335555143412483e+31,2.180463595415924724e+30
9.000000000000000000e+00,1.703220621040121069e+31,1.469804715192793805e+30
1.100000000000000000e+01,1.378005968408066951e+31,8.514218937460371899e+29
1.300000000000000000e+01,1.688994379670347313e+31,1.404981332074255081e+30
1.500000000000000000e+01,1.904598095672783979e+31,2.321865291044039119e+30
1.700000000000000000e+01,2.102693928268389648e+31,2.229059179065163904e+30
1.900000000000000000e+01,1.947369553361515800e+31,2.187233520425091665e+30
2.100000000000000000e+01,2.017663497348135043e+31,1.822236065932282634e+30
2.300000000000000000e+01,1.333233690867979142e+31,1.196322429416530026e+30
2.500000000000000000e+01,1.168053295137626864e+31,9.872492210842991499e+29
2.700000000000000000e+01,1.712042814530203111e+31,1.647939375892597331e+30
2.900000000000000000e+01,1.517455203412334570e+31,1.621902778235552569e+30
