# beta_F_mu = 0.836788
# ma = 106.0
# mb = 750.617670528
# m1 = 0.511
# m2 = 750.617670528
# m3 = 0
# pFa = 162.00027388109442
# pFb = 225.7671563397886
# pF1 = 193.5970754338753
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# neval = 1000000
# n = 1
# Columns:n,emissivity (ergs/cm^3/s),error
1.000000000000000000e+00,2.811940171332982779e+08,7.348613971081872471e+06
3.000000000000000000e+00,5.407749009205859184e+09,1.616343086579637527e+08
5.000000000000000000e+00,1.231699275191256714e+10,3.900090156804032326e+08
7.000000000000000000e+00,1.730143318026833725e+10,6.300480639495437145e+08
9.000000000000000000e+00,1.994979904873897552e+10,7.430072036411244869e+08
1.100000000000000000e+01,1.878701974931609726e+10,7.183916740919852257e+08
1.300000000000000000e+01,1.914096033563291550e+10,7.988764493812744617e+08
1.500000000000000000e+01,2.055895215559482574e+10,9.344266299305797815e+08
1.700000000000000000e+01,1.808690280686655426e+10,8.769402844587645531e+08
1.900000000000000000e+01,1.857335403643791199e+10,8.694133008640456200e+08
2.100000000000000000e+01,1.787242875236171722e+10,9.088244024034588337e+08
2.300000000000000000e+01,1.866330509253403473e+10,8.670893474671409130e+08
2.500000000000000000e+01,1.991768731203493118e+10,1.095885348278784275e+09
2.700000000000000000e+01,1.994998911487729263e+10,1.151233169312860012e+09
2.900000000000000000e+01,2.172850766436702728e+10,1.703162799921797276e+09
