# beta_F_mu = 0.3
# ma = 106.0
# mb = 106.0
# m1 = 0.511
# m2 = 106.0
# m3 = 0
# pFa = 33.335457807756995
# pFb = 33.335457807756995
# pF1 = 111.11701771669696
# pF2 = 33.335457807757
# mu_a = 111.11819269252334
# mu_b = 111.11819269252334
# mu_1 = 111.11819269252334
# mu_2 = 111.11819269252334
# neval = 1000000
# n = 10
# Columns:n,emissivity (ergs/cm^3/s),error
2.999999999999999889e-01,1.914877057304696237e+30,2.472356275700301524e+29
3.224137931034482540e-01,2.427849028318398474e+30,3.462166997046459453e+29
3.448275862068965192e-01,1.581461671995143387e+30,1.116139001926905441e+29
3.672413793103448398e-01,1.657841641283422116e+30,2.097153252434938939e+29
3.896551724137931050e-01,2.026373381928956343e+30,2.258137229300203840e+29
4.120689655172413701e-01,1.693305238540124646e+30,1.716285621685925379e+29
4.344827586206896353e-01,2.158958355161566395e+30,3.028343786805119223e+29
4.568965517241379004e-01,2.723569193270816779e+30,2.804462335128625878e+29
4.793103448275861656e-01,1.707118789473389367e+30,1.377464281021946581e+29
5.017241379310344307e-01,2.654399975983431433e+30,2.699349550424449354e+29
5.241379310344826958e-01,2.955798116607969121e+30,4.090171364827934643e+29
5.465517241379309610e-01,2.141278367740608754e+30,1.828880984616346086e+29
5.689655172413792261e-01,2.394469472682597914e+30,2.441991592644751672e+29
5.913793103448274913e-01,3.165217129992483663e+30,4.432104630302000691e+29
6.137931034482757564e-01,2.765246905052762116e+30,2.158206665226171389e+29
6.362068965517240215e-01,2.396916372213056010e+30,2.764928524689453147e+29
6.586206896551722867e-01,5.796284886529244410e+30,8.276019545720276776e+29
6.810344827586205518e-01,3.258681876305107673e+30,2.170860799468337120e+29
7.034482758620688170e-01,3.264338511022394298e+30,3.133763857870668059e+29
7.258620689655170821e-01,4.051846612760785228e+30,4.830578213063527562e+29
7.482758620689653473e-01,5.603644415936321181e+30,6.093640831758013079e+29
7.706896551724137234e-01,5.282957030046098747e+30,5.251726003964915760e+29
7.931034482758619886e-01,4.002809404402888487e+30,4.910238773574046318e+29
8.155172413793101427e-01,7.772785924075271242e+30,1.141963365715596309e+30
8.379310344827586299e-01,1.066144412667805651e+31,1.133877763296280415e+30
8.603448275862068950e-01,1.215868908187319848e+31,1.102247805913342197e+30
8.827586206896551602e-01,1.195779995854585218e+31,1.424112900745024041e+30
9.051724137931034253e-01,1.860939465402593985e+31,1.838895572075545229e+30
9.275862068965516904e-01,2.326946617374860083e+31,1.906771273443580562e+30
9.499999999999999556e-01,4.286467888178358085e+31,3.864785526859561238e+30
