# T = 0.0861733
# ma = 106.0
# mb = 106.0
# m1 = 0.511
# m2 = 106.0
# m3 = 0
# pFa = 39.60503004112488
# pFb = 39.60503004112488
# pF1 = 113.15607488578952
# pF2 = 39.6050300411249
# mu_a = 113.15722868892824
# mu_b = 113.15722868892824
# mu_1 = 113.15722868892824
# mu_2 = 113.15722868892824
# neval = 10000000
# n = 10
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
3.499999999999999778e-01,8.305958849750798196e+06,3.479761024765497859e+04
3.624999999999999889e-01,1.383133102778139710e+07,4.517852391386357340e+04
3.750000000000000000e-01,1.937890278952939808e+07,5.695743448412705038e+04
3.875000000000000111e-01,2.513822942533681169e+07,6.974610641929696430e+04
4.000000000000000222e-01,3.087615916866261885e+07,8.208734494339156663e+04
4.550000000000000155e-01,5.987682859242542833e+07,1.554806190588818281e+05
5.100000000000000089e-01,9.966616496633204818e+07,2.751747977295724559e+05
5.649999999999999467e-01,1.593044084469607472e+08,4.870491745752472198e+05
6.199999999999999956e-01,2.517641677323666215e+08,8.732643120369031094e+05
6.750000000000000444e-01,4.083409290364081860e+08,1.655035604173463071e+06
7.299999999999999822e-01,6.916959508050429821e+08,3.412264617872935254e+06
7.849999999999999201e-01,1.305785423064912796e+09,8.225411901761620305e+06
8.399999999999999689e-01,2.844444535844692230e+09,2.437651734593033791e+07
8.950000000000000178e-01,8.384159282375017166e+09,1.107050214309092462e+08
9.499999999999999556e-01,5.283717307874103546e+10,1.349968329805129290e+09
