# beta_F_mu = 0.35
# ma = 106.0
# mb = 106.0
# m1 = 0.511
# m2 = 106.0
# m3 = 0
# pFa = 39.60503004112488
# pFb = 39.60503004112488
# pF1 = 113.15607488578952
# pF2 = 39.6050300411249
# mu_a = 113.15722868892824
# mu_b = 113.15722868892824
# mu_1 = 113.15722868892824
# mu_2 = 113.15722868892824
# neval = 1000000
# n = 10
# Columns:n,emissivity (ergs/cm^3/s),error
3.499999999999999778e-01,4.133134056570492685e+06,1.613632473198205698e+05
3.706896551724137567e-01,8.588061720442187041e+06,2.256388299600996252e+05
3.913793103448275357e-01,1.359745858912418969e+07,3.282808293005583691e+05
4.120689655172413701e-01,1.827052537467018887e+07,4.050498029473742354e+05
4.327586206896551491e-01,2.346489502734532580e+07,5.215256836391615798e+05
4.534482758620689280e-01,2.830412582690749317e+07,5.999701340822523925e+05
4.741379310344827624e-01,3.499151403529436141e+07,7.404706565624945797e+05
4.948275862068965414e-01,4.418621647142934054e+07,1.004507061928631389e+06
5.155172413793103203e-01,5.156904220491489023e+07,1.139189212682395708e+06
5.362068965517241548e-01,6.152283684704819322e+07,1.350000021951259580e+06
5.568965517241378782e-01,7.372274748237979412e+07,1.775360436820007628e+06
5.775862068965517127e-01,8.863974079217132926e+07,2.173003307199050672e+06
5.982758620689654361e-01,1.013180305111212581e+08,2.671843998874438461e+06
6.189655172413792705e-01,1.241414958421535045e+08,3.370233583207422867e+06
6.396551724137931050e-01,1.566690901540107131e+08,4.591552350039132871e+06
6.603448275862069394e-01,1.819535680298658907e+08,5.522953774667070247e+06
6.810344827586206629e-01,2.026612461833165288e+08,6.220936535680942237e+06
7.017241379310343863e-01,2.602165850208337307e+08,8.833820441396027803e+06
7.224137931034482207e-01,3.113981432586309314e+08,1.205560910431296192e+07
7.431034482758620552e-01,4.102867768936907053e+08,1.622780688937023282e+07
7.637931034482758896e-01,4.635725085881084204e+08,1.860222865614551306e+07
7.844827586206896131e-01,5.656222867298592329e+08,2.491397055429854617e+07
8.051724137931034475e-01,7.930727629310213327e+08,3.812985969891601056e+07
8.258620689655171709e-01,1.023230141416221738e+09,5.546417212107955664e+07
8.465517241379310054e-01,1.368524076299590826e+09,7.633543006813544035e+07
8.672413793103448398e-01,1.929930848288222790e+09,1.235535167645428181e+08
8.879310344827585633e-01,3.024819938551608562e+09,2.600782182347778678e+08
9.086206896551723977e-01,4.988177760408393860e+09,3.845469893225221038e+08
9.293103448275862322e-01,6.109198782458884239e+09,6.208564754779677391e+08
9.499999999999999556e-01,8.725737697597005844e+09,1.047444106194831371e+09
