# ma = 106.0
# mb = 106.0
# m1 = 0.511
# m2 = 106.0
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 193.5970754338753
# pF2 = 162.00027388109442
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 1000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,1.126348113371798364e-08,2.885093605863007297e-09
1.000000000000000021e-02,2.636570509444503264e-09,8.287831146170593477e-10
1.000000000000000021e-02,2.060383707369772919e-09,8.099170618318014595e-10
1.000000000000000056e-01,6.666668251509428877e+00,8.638695365281908733e-01
1.000000000000000056e-01,1.068718362104921482e+01,1.337183810657652794e+00
1.000000000000000056e-01,8.404383327625533084e+00,1.082386508230616995e+00
1.000000000000000000e+00,1.334884602215599775e+09,7.968806323906038702e+07
1.000000000000000000e+00,1.095923687044706821e+09,5.505599679850280285e+07
1.000000000000000000e+00,1.078621147010972738e+09,5.806221999766722322e+07
2.154434690031883814e+00,6.529263564941380615e+11,2.406306382393686676e+10
2.154434690031883814e+00,6.695983660329307861e+11,2.572079525391618347e+10
4.641588833612778409e+00,3.276634475945028125e+14,6.839309114631230469e+12
4.641588833612778409e+00,3.324389209542466875e+14,7.319467594777475586e+12
1.000000000000000000e+01,2.538067345176287040e+17,3.393307729785655000e+15
1.000000000000000000e+01,2.518350009985594560e+17,3.644118323844485000e+15
1.000000000000000000e+01,2.467568838025467520e+17,3.257438023765207500e+15
2.154434690031883193e+01,3.965950964737886913e+21,3.877089465871282340e+20
2.154434690031883193e+01,4.679501518049238319e+21,4.945154366150459392e+20
4.641588833612777165e+01,2.673710936742057174e+24,3.003845166028675875e+23
4.641588833612777165e+01,2.697808364021876928e+24,3.269467375943703446e+23
1.000000000000000000e+02,4.411256405502537787e+26,4.642743174893475010e+25
1.000000000000000000e+02,4.105784729113328192e+26,4.206932293078733381e+25
1.000000000000000000e+02,3.967050417221063019e+26,4.503180175608116367e+25
2.154434690031882269e+02,4.376943915561261584e+28,4.619185616772254840e+27
2.154434690031882269e+02,4.657018101259910920e+28,3.952079887649686654e+27
4.641588833612777307e+02,5.340271560709496515e+30,4.878836667265204453e+29
4.641588833612777307e+02,5.150813796704271525e+30,3.887852165735240184e+29
1.000000000000000000e+03,9.229994595325426894e+32,1.199325005425047219e+32
1.000000000000000000e+03,6.513587225789810268e+32,4.662527450478624257e+31
1.000000000000000000e+03,8.370472842291504266e+32,8.245441854619730977e+31
1.000000000000000000e+04,6.393771204096279831e+41,9.050026508610704336e+40
1.000000000000000000e+04,1.006466872657623650e+42,1.290901551119187640e+41
1.000000000000000000e+04,3.957597570730879337e+41,4.131768739780608809e+40
