# ma = 106.0
# mb = 106.0
# m1 = 0.511
# m2 = 106.0
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 193.5970754338753
# pF2 = 162.00027388109442
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 50000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,1.283602445007872703e-07,1.089485679180378491e-08
1.000000000000000056e-01,1.273651646660003323e+01,3.862271333812314356e-01
1.000000000000000000e+00,1.354008827752793550e+09,1.107601793445123360e+07
2.154434690031883814e+00,6.571153880060064697e+11,2.954488379061306000e+09
4.641588833612778409e+00,3.360890971476674375e+14,7.327720988338894043e+11
1.000000000000000000e+01,2.847130303926158400e+17,4.010561682667140500e+15
2.154434690031883193e+01,1.663484836776975008e+22,1.517055897605997330e+21
4.641588833612777165e+01,1.389044928502882063e+25,1.252522620357657343e+24
1.000000000000000000e+02,1.911309973500201075e+27,1.719723455201874362e+26
2.154434690031882269e+02,2.958188801354374051e+29,3.157865927158461425e+28
4.641588833612777307e+02,3.029006515962121468e+31,3.372993518976297744e+30
1.000000000000000000e+03,2.683630373114413416e+33,2.597021852651580034e+32
1.000000000000000000e+04,1.634606858522902596e+42,9.692614576400141131e+40
