# ma = 106.0
# mb = 106.0
# m1 = 0.511
# m2 = 106.0
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 193.5970754338753
# pF2 = 162.00027388109442
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 50000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,2.882577280832336252e-08,1.237503839469176757e-09
1.000000000000000021e-02,3.058450121164324745e-08,1.304042074460474151e-09
1.000000000000000056e-01,3.152215300703632206e+00,4.218452451563990679e-02
1.000000000000000056e-01,3.083870586133703018e+00,4.041055835418976006e-02
1.000000000000000000e+00,3.169200852322843075e+08,1.153982072983079124e+06
2.154434690031883814e+00,1.494512929392479553e+11,3.196564747792559266e+08
4.641588833612778409e+00,7.132273160616529688e+13,8.288633145627029419e+10
1.000000000000000000e+01,3.563597654954855600e+16,2.080353066205344141e+13
2.154434690031883193e+01,1.956517809158891110e+19,5.768670463038274000e+15
4.641588833612777165e+01,9.513696131223061004e+21,1.655362133525867520e+18
1.000000000000000000e+02,3.299298014996930543e+24,4.196558532903843922e+20
2.154434690031882269e+02,9.049553741886026802e+26,1.031567698526886890e+23
4.641588833612777307e+02,1.935353350028650717e+29,2.750497276128013643e+25
1.000000000000000000e+03,6.239502653840396402e+31,1.664789165750591705e+28
1.000000000000000000e+04,2.888541079051033710e+41,1.825000016589152097e+39
