# ma = 106.0
# mb = 106.0
# m1 = 0.511
# m2 = 106.0
# pFa = 33.335457807756995
# pFb = 33.335457807756995
# pF1 = 111.11701771669696
# pF2 = 33.335457807757
# mu_a = 111.11819269252334
# mu_b = 111.11819269252334
# mu_1 = 111.11819269252334
# mu_2 = 111.11819269252334
# T = 43.08665
# n = 10
# m3 = 0
# neval = 1000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
2.999999999999999889e-01,1.803515567609788427e+30,1.671926864975399867e+29
3.224137931034482540e-01,1.609461365340017328e+30,2.400083881591730082e+29
3.448275862068965192e-01,2.119300668695221784e+30,2.773024979639495853e+29
3.672413793103448398e-01,1.915709129033862734e+30,1.847748479851569782e+29
3.896551724137931050e-01,1.538617493395803923e+30,1.130731554844986889e+29
4.120689655172413701e-01,1.478630806505354599e+30,1.366324920975266778e+29
4.344827586206896353e-01,1.686560817651909437e+30,1.274394173548343826e+29
4.568965517241379004e-01,1.390021624731149921e+30,1.225544154778424285e+29
4.793103448275861656e-01,1.198431310930465059e+30,1.160348850607716083e+29
5.017241379310344307e-01,1.917935673328501400e+30,2.055062079714606372e+29
5.241379310344826958e-01,1.734197199363570421e+30,1.541663992058205919e+29
5.465517241379309610e-01,3.658464297978760992e+30,5.969398810661468313e+29
5.689655172413792261e-01,2.263807280943744031e+30,2.173876225236222459e+29
5.913793103448274913e-01,2.193470323959612646e+30,2.515396375323287202e+29
6.137931034482757564e-01,2.836562100508655007e+30,2.421933618957703939e+29
6.362068965517240215e-01,3.125860231587288634e+30,3.277055282296513342e+29
6.586206896551722867e-01,2.495289522427280845e+30,2.227448879950373699e+29
6.810344827586205518e-01,2.683138198146983175e+30,2.644289420176945614e+29
7.034482758620688170e-01,3.162888228164338729e+30,3.204897882108288003e+29
7.258620689655170821e-01,4.509344249148413850e+30,5.364000713736133071e+29
7.482758620689653473e-01,4.466535775611974875e+30,4.385058622885815060e+29
7.706896551724137234e-01,5.068390991413505150e+30,4.941281702162804972e+29
7.931034482758619886e-01,6.808979828631186788e+30,6.555235180412720033e+29
8.155172413793101427e-01,7.807354592073859039e+30,8.690846760007242580e+29
8.379310344827586299e-01,7.033270181990330571e+30,6.358288780020388945e+29
8.603448275862068950e-01,9.403818381747004000e+30,7.383894124980079774e+29
8.827586206896551602e-01,1.965550465280443302e+31,2.318166284837649598e+30
9.051724137931034253e-01,1.580926181879280597e+31,1.743761122190969480e+30
9.275862068965516904e-01,2.473763196528004772e+31,1.663877326145534280e+30
9.499999999999999556e-01,4.160292237979844937e+31,4.122032306616951446e+30
