# ma = 106.0
# mb = 106.0
# m1 = 0.511
# m2 = 106.0
# pFa = 1.0600530039753313
# pFb = 1.0600530039753313
# pF1 = 106.0040687491345
# pF2 = 1.060053003974062
# mu_a = 106.00530039753312
# mu_b = 106.00530039753312
# mu_1 = 106.00530039753312
# mu_2 = 106.00530039753312
# T = 0.0861733
# n = 10
# m3 = 0
# neval = 10000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,0.000000000000000000e+00,9.999999999999999259e-130
5.000000000000000278e-02,0.000000000000000000e+00,9.999999999999999259e-130
2.500000000000000000e-01,0.000000000000000000e+00,9.999999999999999259e-130
3.499999999999999778e-01,3.028012615602490958e+06,2.181695483374565083e+04
4.500000000000000111e-01,2.041036769906903058e+07,8.434279764440761937e+04
5.699999999999999512e-01,5.268590912486462295e+07,2.407093361267521395e+05
6.600000000000000311e-01,9.697618214832033217e+07,5.190660874310428626e+05
7.399999999999999911e-01,1.643193956646055579e+08,1.055288175657422282e+06
8.199999999999999512e-01,2.810072729245063663e+08,2.216181784292061348e+06
9.000000000000000222e-01,4.844549515619138479e+08,4.923068904464213178e+06
