# ma = 106.0
# mb = 106.0
# m1 = 0.511
# m2 = 106.0
# pFa = 33.335457807756995
# pFb = 33.335457807756995
# pF1 = 111.11701771669696
# pF2 = 33.335457807757
# mu_a = 111.11819269252334
# mu_b = 111.11819269252334
# mu_1 = 111.11819269252334
# mu_2 = 111.11819269252334
# T = 0.0008617329999999999
# n = 10
# m3 = 0
# neval = 1000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
2.999999999999999889e-01,0.000000000000000000e+00,9.999999999999999259e-130
3.722222222222222321e-01,1.290218016599630112e-10,2.761530105600377773e-11
4.444444444444444198e-01,3.633650422529038827e-10,8.845840389304436447e-11
5.166666666666666075e-01,1.972373751536978340e-10,5.031576948621770838e-11
5.888888888888887951e-01,1.006312086823045784e-09,2.381311866893226744e-10
6.611111111111109828e-01,3.348131967272689965e-09,6.504544518166122210e-10
7.333333333333332815e-01,3.936277722967484965e-09,1.016560826073630088e-09
8.055555555555555802e-01,1.701543374245170332e-09,6.304312449453508935e-10
8.777777777777777679e-01,3.280727940780846119e-09,1.698784173319872810e-09
9.499999999999999556e-01,5.483732035043301160e-10,2.248340017110322956e-10
