# ma = 106.0
# mb = 106.0
# m1 = 0.511
# m2 = 106.0
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 193.5970754338753
# pF2 = 162.00027388109442
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# T = 0.0861733
# beta_F_mu = 0.836788
# n = 10
# neval = 1000000
# Columns:m3,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,1.227311550245055914e+09,6.337329225514198095e+07
0.000000000000000000e+00,1.302325017352956533e+09,7.703466242475208640e+07
0.000000000000000000e+00,1.288331529660341024e+09,7.619634398825033009e+07
5.000000000000000278e-02,1.181738213608647823e+09,6.450544298855442554e+07
1.000000000000000056e-01,1.054998118800366759e+09,5.435593521540880203e+07
1.000000000000000056e-01,1.183194362707871914e+09,6.487227418335258961e+07
1.500000000000000222e-01,1.057572316456091046e+09,5.786972291873037070e+07
2.000000000000000111e-01,1.102305166851742506e+09,5.918136566975323856e+07
2.154434690031883370e-01,1.086836576171876907e+09,5.704294560256413370e+07
2.500000000000000000e-01,9.051131160718365908e+08,4.932126991930052638e+07
2.500000000000000000e-01,1.102015192418181896e+09,7.276095258379060030e+07
3.000000000000000444e-01,9.661890079630054235e+08,5.603461356815239042e+07
3.500000000000000333e-01,1.016500541037346840e+09,5.761519808230984211e+07
4.000000000000000222e-01,7.589968236037421227e+08,4.564081172891186923e+07
4.500000000000000111e-01,6.757260368903964758e+08,4.368713894749232382e+07
4.641588833612778631e-01,7.544327278239870071e+08,4.495941000823133439e+07
5.000000000000000000e-01,6.938890321698687077e+08,4.152536209505194426e+07
5.000000000000000000e-01,6.227740565267606974e+08,3.800262405359183997e+07
5.500000000000000444e-01,4.912681255480991602e+08,3.155897642433229834e+07
6.000000000000000888e-01,4.571364771375780106e+08,3.132225383698258549e+07
6.500000000000000222e-01,3.390036920885291100e+08,2.097742854596709087e+07
7.000000000000000666e-01,2.622470826072433591e+08,1.804520532114150003e+07
7.500000000000000000e-01,2.206998741768994629e+08,1.423858217711179145e+07
7.500000000000000000e-01,2.225110038790735900e+08,1.439548721335061267e+07
8.000000000000000444e-01,1.656407508811458051e+08,1.024093847555364668e+07
8.500000000000000888e-01,1.322909515216346979e+08,9.217808192446518689e+06
9.000000000000000222e-01,1.013833495015099496e+08,6.192384166984850541e+06
9.500000000000000666e-01,7.761017083136750758e+07,5.015736570602959953e+06
1.000000000000000000e+00,5.061506337189736217e+07,3.201860342956332490e+06
1.000000000000000000e+00,5.054806023150392622e+07,3.456598355482047424e+06
1.000000000000000000e+00,5.004837882233430445e+07,3.454071317143507302e+06
1.250000000000000000e+00,9.490834362444510683e+06,6.077523920250710798e+05
1.500000000000000000e+00,1.321899964184064185e+06,8.402015062149321602e+04
1.750000000000000000e+00,1.587614476298126974e+05,1.121640479205421616e+04
2.000000000000000000e+00,1.265358819644086725e+04,8.365811559641263102e+02
2.154434690031883370e+00,3.320531959591923169e+03,1.979254328646534304e+02
2.250000000000000000e+00,1.136851960337987748e+03,6.708812766758681789e+01
