# beta_F_mu = 0.836788
# ma = 106.0
# mb = 106.0
# m1 = 0.511
# m2 = 106.0
# m3 = 0
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 193.5970754338753
# pF2 = 162.00027388109442
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# neval = 1000000
# n = 1
# Columns:n,emissivity (ergs/cm^3/s),error
1.000000000000000000e+00,2.440248776483015939e+28,1.796154628410699083e+27
3.000000000000000000e+00,3.654335491723200172e+30,4.631900566057995117e+29
5.000000000000000000e+00,8.662771049624711053e+30,1.171758104532237244e+30
7.000000000000000000e+00,3.895350000540910661e+30,3.768481924481636828e+29
9.000000000000000000e+00,6.831554113837639404e+30,4.905860445405675091e+29
1.100000000000000000e+01,9.037057983321758328e+30,6.881193989062182403e+29
1.300000000000000000e+01,9.365049935327453884e+30,9.656820816831044937e+29
1.500000000000000000e+01,8.496095390062776611e+30,7.986680986744894799e+29
1.700000000000000000e+01,9.020986528527293243e+30,1.682988908060273135e+30
1.900000000000000000e+01,7.532646869680888813e+30,8.177083277134678579e+29
2.100000000000000000e+01,7.715561065819527660e+30,6.707180902283002794e+29
2.300000000000000000e+01,8.876572981835892005e+30,1.239893190135810981e+30
2.500000000000000000e+01,9.122491272393769656e+30,1.088746021991116898e+30
2.700000000000000000e+01,7.046351681495364494e+30,5.394571766380296602e+29
2.900000000000000000e+01,8.866849663780685510e+30,1.163790226126698675e+30
