# beta_F_mu = 0.836788
# ma = 106.0
# mb = 106.0
# m1 = 0.511
# m2 = 106.0
# m3 = 0
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 193.5970754338753
# pF2 = 162.00027388109442
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# neval = 1000000
# n = 1
# Columns:n,emissivity (ergs/cm^3/s),error
1.000000000000000000e+00,1.795438324236273021e+07,6.693933659667905886e+05
3.000000000000000000e+00,3.366550109128361344e+08,1.560962957655028999e+07
5.000000000000000000e+00,8.204859108129472733e+08,3.436214293482549489e+07
7.000000000000000000e+00,1.037652805112105966e+09,4.500580865571468323e+07
9.000000000000000000e+00,1.246624146958310127e+09,6.743553261084371805e+07
1.100000000000000000e+01,1.302367945185002089e+09,7.471475904792866111e+07
1.300000000000000000e+01,1.183027453463231564e+09,7.486211162557099760e+07
1.500000000000000000e+01,1.222776805511684179e+09,7.321603653073246777e+07
1.700000000000000000e+01,1.082321007883652449e+09,6.542171032657443732e+07
1.900000000000000000e+01,9.532429675874980688e+08,6.694986985627339035e+07
2.100000000000000000e+01,1.153111077303698063e+09,7.951205966656862199e+07
2.300000000000000000e+01,1.116592603202714682e+09,8.546644435112190247e+07
2.500000000000000000e+01,1.091049068716107130e+09,9.375832743925046921e+07
2.700000000000000000e+01,9.279999974140652418e+08,6.749218943177483976e+07
2.900000000000000000e+01,9.834196764272357225e+08,6.429469005615510046e+07
